Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
A	0.87	2.13%	 645,319,200 	40.94	41.81	43.55	33.37		Greatest % Increase	ARR	491.30%
AA	-17.76	-37.49%	 6,449,104,200 	47.37	29.61	51.21	23.46		Greatest % Decrease	KMI.W	-98.59%
AA-B	-17.14	-33.97%	 40,441,700 	50.45	33.31	53.63	29.08		Greatest Total Volume	BAC	 21,277,761,900 
AAC	-11.86	-38.36%	 78,122,300 	30.92	19.06	44.75	17.77		Total number of stocks	3004	
AAN	-8.18	-26.76%	 179,606,700 	30.57	22.39	40.46	21.74				
AAP	-8.77	-5.51%	 266,930,500 	159.28	150.51	200.38	143				
AAT	-1.46	-3.67%	 48,158,100 	39.81	38.35	45.05	37.49				
AAV	0.29	6.05%	 30,229,400 	4.79	5.08	6.45	3.99				
AB	-1.98	-7.67%	 71,403,800 	25.83	23.85	32.4	21.41				
ABB	-3.42	-16.17%	 532,805,500 	21.15	17.73	23.14	17.14				
ABBV	-6.2	-9.47%	 2,643,021,600 	65.44	59.24	71.23	48.27				
ABC	13.55	15.03%	 516,218,400 	90.16	103.71	115.48	89.69				
ABEV	-1.76	-28.30%	 3,915,345,800 	6.22	4.46	6.81	4.44				
ABG	-8.48	-11.17%	 82,930,400 	75.92	67.44	95.54	66.76				
ABM	-0.18	-0.63%	 72,539,400 	28.65	28.47	33.8	27.21				
ABR	0.38	5.61%	 37,916,900 	6.77	7.15	7.41	6.04				
ABR-A	-0.49	-1.96%	 1,243,100 	24.99	24.5	25.81	23.18				
ABR-B	-2.14	-8.66%	 1,022,000 	24.7	22.56	25.22	21.93				
ABR-C	-0.12	-0.47%	 634,000 	25.29	25.17	26.6	24				
ABRN	0.1	0.41%	 2,109,900 	24.5	24.6	25.57	23.25				
ABT	-0.11	-0.24%	 1,469,310,700 	45.02	44.91	51.2	39.06				
ABX	-3.37	-31.35%	 4,289,215,100 	10.75	7.38	13.51	5.94				
AC	-2.7	-8.13%	 437,700 	33.2	30.5	35.21	28.27				
ACC	-0.02	-0.05%	 228,980,000 	41.36	41.34	44.84	32.26				
ACCO	-1.88	-20.87%	 167,330,800 	9.01	7.13	9.01	6.85				
ACH	-3.28	-28.47%	 35,801,000 	11.52	8.24	17.39	7.07				
ACM	-0.34	-1.12%	 362,299,600 	30.37	30.03	35.36	24.92				
ACN	15.19	17.01%	 625,655,000 	89.31	104.5	109.73	84.03				
ACP	-3.76	-24.88%	 14,348,400 	15.11	11.35	15.53	10.79				
ACRE	-0.04	-0.35%	 39,118,800 	11.48	11.44	13.08	11.02				
ACV	-6.82	-27.30%	 11,539,300 	24.98	18.16	25	17.02				
ACW	-2.68	-61.75%	 46,092,000 	4.34	1.66	5.39	1.66				
ADC	2.9	9.33%	 27,995,400 	31.09	33.99	35.45	27.8				
ADM	-15.32	-29.46%	 998,224,500 	52	36.68	53.17	34.18				
ADPT	17.12	45.78%	 82,504,100 	37.4	54.52	120.88	31.2				
ADS	-9.48	-3.31%	 108,101,200 	286.05	276.57	309.91	247.05				
ADX	-0.85	-6.21%	 31,402,600 	13.68	12.83	14.35	12.48				
AEB	0.65	2.77%	 4,267,500 	23.48	24.13	24.97	23.14				
AED	0.45	1.77%	 4,930,700 	25.41	25.86	26.3	25.27				
AEE	-2.9	-6.29%	 419,963,700 	46.13	43.23	46.54	37.51				
AEG	-1.83	-24.40%	 308,824,100 	7.5	5.67	8.32	5.45				
AEH	0.28	1.10%	 12,978,100 	25.5	25.78	25.86	25.11				
AEK	-0.58	-2.06%	 8,268,400 	28.12	27.54	28.76	27.08				
AEL	-5.16	-17.68%	 134,214,500 	29.19	24.03	29.67	22.76				
AEM	1.39	5.58%	 682,224,900 	24.89	26.28	34.58	21.1				
AEO	1.62	11.67%	 1,255,753,900 	13.88	15.5	18.35	13.74				
AEP	-2.45	-4.03%	 709,551,700 	60.72	58.27	64.57	52.54				
AER	4.34	11.18%	 527,225,700 	38.82	43.16	50.34	37.71				
AES	-4.2	-30.50%	 1,540,683,700 	13.77	9.57	13.94	8.83				
AES-C	-0.81	-1.59%	 2,371,700 	50.89	50.08	51.45	49.6				
AET	19.29	21.72%	 732,993,400 	88.83	108.12	132.6	87.6				
AEUA	-16.25	-32.37%	 12,416,800 	50.2	33.95	51.2	29.83				
AF	2.49	18.64%	 194,543,500 	13.36	15.85	17.9	12.23				
AF-C	1.33	5.39%	 2,676,100 	24.66	25.99	26.4	24.66				
AFA	0.31	1.21%	 2,641,100 	25.55	25.86	26.27	24.78				
AFB	0.04	0.29%	 16,719,900 	13.77	13.81	14.46	13.01				
AFC	0.4	1.60%	 2,800,800 	25.04	25.44	26.29	24.81				
AFG	11.36	18.71%	 74,624,100 	60.72	72.08	75.17	58.04				
AFGE	0.93	3.70%	 4,895,800 	25.12	26.05	27.14	25.02				
AFGH	0.73	2.93%	 2,686,500 	24.94	25.67	25.67	24.57				
AFL	-1.19	-1.95%	 540,267,400 	61.09	59.9	65.99	55.23				
AFS-A	0.95	4.05%	 3,375,900 	23.44	24.39	25.56	23.42				
AFS-B	0.97	3.99%	 3,889,600 	24.33	25.3	25.83	24.33				
AFS-C	0.48	1.91%	 2,817,500 	25.08	25.56	26.12	25.03				
AFS-D	0.36	1.44%	 8,699,200 	25.05	25.41	25.87	24.86				
AFSD	1.28	5.21%	 8,611,600 	24.56	25.84	25.84	24.36				
AFSS	0.77	3.10%	 5,250,200 	24.87	25.64	25.64	24.39				
AFST	1.07	4.31%	 3,310,700 	24.8	25.87	26.49	24.8				
AFT	-1.48	-8.90%	 20,018,500 	16.63	15.15	18.48	14.65				
AFW	-0.49	-1.85%	 3,190,300 	26.55	26.06	27.22	25.46				
AG	-1.75	-34.86%	 464,325,700 	5.02	3.27	6.78	2.81				
AGC	-0.75	-11.90%	 31,379,300 	6.3	5.55	7	5.24				
AGCO	0.19	0.42%	 295,115,900 	45.2	45.39	57.87	42.72				
AGD	-0.99	-10.06%	 12,057,800 	9.84	8.85	10.57	8.46				
AGI	-3.84	-53.86%	 261,770,700 	7.13	3.29	8.46	2.85				
AGM	1.23	4.05%	 9,945,700 	30.34	31.57	33.01	22.41				
AGM-A	0.3	1.20%	 1,052,400 	25.1	25.4	26.72	24.5				
AGM-B	0.53	2.00%	 648,800 	26.47	27	28.25	25.5				
AGM-C	0.77	3.03%	 621,500 	25.38	26.15	27.56	25				
AGM.A	4.31	18.96%	 98,800 	22.73	27.04	29.2	20.75				
AGN	99.91	47.00%	 619,008,000 	212.59	312.5	339.5	209.37				
AGN-A	-8.16	-0.79%	 3,944,600 	1037.15	1028.99	1134.7	893.06				
AGO	0.44	1.69%	 427,156,200 	25.99	26.43	29.52	23.62				
AGO-B	0.29	1.14%	 1,245,800 	25.41	25.7	26.04	24.73				
AGO-E	0.1	0.39%	 3,181,700 	25.34	25.44	25.86	24				
AGO-F	0.99	4.14%	 2,021,200 	23.92	24.91	25.07	22.75				
AGR	2.28	6.31%	 25,386,200 	36.12	38.4	38.4	33.26				
AGRO	4.28	53.43%	 71,918,000 	8.01	12.29	12.45	7.59				
AGU	-5.38	-5.68%	 168,943,100 	94.72	89.34	116.39	87.38				
AGX	-1.24	-3.69%	 27,900,000 	33.64	32.4	41.41	30.41				
AHC	-5.38	-51.83%	 18,850,200 	10.38	5	10.74	4.35				
AHH	0.99	10.43%	 31,659,300 	9.49	10.48	11.54	9.49				
AHL	4.53	10.35%	 76,864,200 	43.77	48.3	51.19	42.32				
AHL-A	-0.97	-3.71%	 4,273,000 	26.17	25.2	26.74	24.73				
AHL-B	0.1	0.38%	 4,383,400 	26.18	26.28	26.8	25.61				
AHL-C	0.53	2.10%	 9,932,100 	25.26	25.79	26.17	24.72				
AHP	-2.66	-15.50%	 47,052,000 	17.16	14.5	17.99	11.55				
AHS	11.45	58.42%	 170,925,400 	19.6	31.05	37.21	18.2				
AHT	-4.17	-39.79%	 211,982,200 	10.48	6.31	11.01	6.08				
AHT-A	-0.53	-2.06%	 901,500 	25.78	25.25	26.34	25.03				
AHT-D	-0.34	-1.33%	 4,801,600 	25.53	25.19	26.2	24.88				
AI	-13.38	-50.28%	 79,077,100 	26.61	13.23	27.02	12.1				
AIB	0.22	0.87%	 3,565,400 	25.19	25.41	25.98	24.81				
AIC	-5.68	-22.86%	 776,200 	24.85	19.17	25.39	17.51				
AIF	-2.07	-12.97%	 13,002,400 	15.96	13.89	16.6	13.6				
AIG	5.96	10.64%	 2,092,639,300 	56.01	61.97	64.54	48.87				
AIG.W	-0.86	-3.49%	 25,763,000 	24.62	23.76	29.4	20.43				
AIN	-1.44	-3.79%	 24,990,700 	37.99	36.55	41.15	28.19				
AIR	-1.49	-5.36%	 69,895,700 	27.78	26.29	33.45	18.69				
AIT	-5.1	-11.19%	 66,041,700 	45.59	40.49	45.59	37.63				
AIV	2.88	7.75%	 316,016,300 	37.15	40.03	41.19	34.85				
AIV-A	-0.48	-1.84%	 3,473,100 	26.12	25.64	28.25	25.3				
AIW	-4.2	-17.36%	 661,400 	24.2	20	25.25	18.61				
AIY	0.02	0.08%	 3,496,400 	25.04	25.06	26.28	24.84				
AIZ	12.11	17.70%	 153,793,600 	68.43	80.54	86.81	59.86				
AJG	-6.14	-13.04%	 252,424,800 	47.08	40.94	49.5	40.08				
AJRD	-6.64	-29.78%	 55,543,100 	22.3	15.66	24.27	15.07				
AJX	-1.88	-13.43%	 11,001,900 	14	12.12	14.83	11.82				
AKO.A	1.98	13.85%	 800,900 	14.3	16.28	18.99	12.3				
AKO.B	0.41	2.41%	 11,888,700 	17	17.41	23.97	14.91				
AKP	0.53	3.91%	 5,246,100 	13.56	14.09	14.28	13.23				
AKR	1.12	3.50%	 82,267,900 	32.03	33.15	36.81	28.46				
AKS	-3.7	-62.29%	 2,210,292,700 	5.94	2.24	5.97	2.04				
AL	-0.83	-2.42%	 184,131,300 	34.31	33.48	40.21	29.83				
ALB	-4.12	-6.85%	 365,746,200 	60.13	56.01	64.38	41.78				
ALDW	10.34	80.09%	 53,114,100 	12.91	23.25	26.26	12.58				
ALE	-4.31	-7.82%	 67,765,600 	55.14	50.83	59.19	45.66				
ALEX	-3.95	-10.06%	 43,562,500 	39.26	35.31	43.52	33.34				
ALG	3.66	7.56%	 13,042,200 	48.44	52.1	64.34	44.3				
ALJ	2.17	17.13%	 260,242,200 	12.67	14.84	22.86	10.66				
ALK	20.75	34.72%	 347,768,700 	59.76	80.51	86.33	58.77				
ALL	-8.16	-11.62%	 681,286,900 	70.25	62.09	72.58	56.99				
ALL-A	-1.02	-3.87%	 58,671,900 	26.38	25.36	26.46	25.29				
ALL-B	-1.14	-4.24%	 24,794,200 	26.88	25.74	27.09	25.62				
ALL-C	0.7	2.60%	 5,614,600 	26.95	27.65	27.99	26.28				
ALL-D	0.87	3.25%	 3,438,300 	26.81	27.68	27.96	26.07				
ALL-E	1.42	5.39%	 12,781,500 	26.33	27.75	27.75	26.07				
ALL-F	1.12	4.36%	 3,757,800 	25.7	26.82	27.06	25.2				
ALLE	10.46	18.86%	 164,936,800 	55.46	65.92	68.03	52.79				
ALLY	-4.98	-21.08%	 1,007,582,600 	23.62	18.64	23.88	18.33				
ALP-O	1.63	6.04%	 383,700 	26.97	28.6	29.35	25.66				
ALR	1.09	2.87%	 151,791,700 	38	39.09	55.39	36.72				
ALR-B	-33.8	-10.73%	 574,100 	315	281.2	361.1	275				
ALSN	-8.01	-23.63%	 374,355,500 	33.9	25.89	33.9	24.64				
ALV	18.65	17.57%	 133,768,500 	106.12	124.77	130.81	96.57				
ALX	-53.07	-12.14%	 1,028,600 	437.18	384.11	481.9	357.5				
AM	-4.68	-17.02%	 91,809,200 	27.5	22.82	29.33	16.91				
AMBR	-5.13	-50.20%	 27,784,900 	10.22	5.09	10.52	3.54				
AMC	-2.18	-8.33%	 67,888,600 	26.18	24	35.86	22.91				
AME	0.96	1.82%	 314,230,800 	52.63	53.59	57.5	47.9				
AMFW	-6.5	-50.23%	 57,621,700 	12.94	6.44	14.79	5.85				
AMG	-52.48	-24.73%	 107,729,400 	212.24	159.76	228.02	144.01				
